,Length,GC_Content,Mean_Quality
mean,1038.2353630988384,53.00015170779276,17.896344693930452
median,547.0,53.53,17.31
std,2995.9169854111897,7.095426119950095,8.270015100746884
min,86.0,14.97,2.75
max,686155.0,73.4,38.84
